product_name;current_price;normal_price;product_url;store;extraction_date
Celular HONOR X7c 256GB Negro;779900.0;1499900.0;https://www.alkosto.com/celular-honor-x7c-256gb-negro/p/6936520855933?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NTU5MzMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular OPPO A40 256GB Café;499900.0;1599900.0;https://www.alkosto.com/celular-oppo-a40-256gb-cafe/p/6932169354202?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNTQyMDIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy A16 256GB LTE Verde Claro;679900.0;979900.0;https://www.alkosto.com/celular-samsung-galaxy-a16-256gb-lte-verde-claro/p/8806095818092?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU4MTgwOTIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy S24FE 512GB 5G Gris;2999990.0;4549990.0;https://www.alkosto.com/celular-samsung-galaxy-s24fe-512gb-5g-gris/p/8806095746142?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU3NDYxNDIiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6Ijk2NTQ4ODRkYTEzYmNmOWFjNGViNWVmYzk3MzdmMDY4In0=;alkosto;2025-08-14
Celular MOTOROLA G15 256GB Verde;479900.0;999900.0;https://www.alkosto.com/celular-motorola-g15-256gb-verde/p/840023280252?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI4MDI1MiIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiOTY1NDg4NGRhMTNiY2Y5YWM0ZWI1ZWZjOTczN2YwNjgifQ==;alkosto;2025-08-14
Celular OPPO A20 128GB Café;399900.0;999900.0;https://www.alkosto.com/celular-oppo-a20-128gb-cafe/p/6932169353663?algEvent=eyJvYmplY3RJZCI6IjY5MzIxNjkzNTM2NjMiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6IjE2YjEzMzJiNDRkYmU2YmU2NjYyNTM4ODU3M2M0NjUzIn0=;alkosto;2025-08-14
Celular HONOR X7c 256GB Blanco;779900.0;1499900.0;https://www.alkosto.com/celular-honor-x7c-256gb-blanco/p/6936520855926?algEvent=eyJvYmplY3RJZCI6IjY5MzY1MjA4NTU5MjYiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6IjE2YjEzMzJiNDRkYmU2YmU2NjYyNTM4ODU3M2M0NjUzIn0=;alkosto;2025-08-14
Celular SAMSUNG Galaxy S24FE 512GB 5G Azul;2999990.0;4549990.0;https://www.alkosto.com/celular-samsung-galaxy-s24fe-512gb-5g-azul/p/8806095745749?algEvent=eyJvYmplY3RJZCI6Ijg4MDYwOTU3NDU3NDkiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6IjE2YjEzMzJiNDRkYmU2YmU2NjYyNTM4ODU3M2M0NjUzIn0=;alkosto;2025-08-14
Celular MOTOROLA G05 128GB Verde;389900.0;699900.0;https://www.alkosto.com/celular-motorola-g05-128gb-verde/p/840023280481?algEvent=eyJvYmplY3RJZCI6Ijg0MDAyMzI4MDQ4MSIsImluZGV4IjoiYWxrb3N0b0luZGV4QWxnb2xpYVBSRCIsImFjdGlvbiI6InZpZXciLCJxdWVyeUlEIjoiMTZiMTMzMmI0NGRiZTZiZTY2NjI1Mzg4NTczYzQ2NTMifQ==;alkosto;2025-08-14
Celular TECNO Spark 30 256GB 5G Negro;669900.0;1094900.0;https://www.alkosto.com/celular-tecno-spark-30-256gb-5g-negro/p/4894947041815?algEvent=eyJvYmplY3RJZCI6IjQ4OTQ5NDcwNDE4MTUiLCJpbmRleCI6ImFsa29zdG9JbmRleEFsZ29saWFQUkQiLCJhY3Rpb24iOiJ2aWV3IiwicXVlcnlJRCI6IjE2YjEzMzJiNDRkYmU2YmU2NjYyNTM4ODU3M2M0NjUzIn0=;alkosto;2025-08-14
